Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 10/6/2016 7:55:02 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
123834,AESTHINT 13,Cultural Agents,001,General Education,"Sommer,Doris",31,0,0,2,2,0,0,35
125491,AESTHINT 16,The Illuminated Manuscript,001,General Education,"Hamburger,Jeffrey F.",6,1,0,0,0,0,0,7
116873,AESTHINT 20,"Poems, Poets, Poetry",001,General Education,"Vendler,Helen",45,0,0,0,1,0,0,46
110744,AESTHINT 24,First Nights,001,General Education,"Kelly,Thomas F.",38,0,0,0,0,0,0,38
127928,AESTHINT 47,Forbidden Romance Modern China,001,General Education,"Wang,David Der-Wei",46,2,0,1,1,0,0,50
125611,AESTHINT 53,Anime as Global Pop Culture,001,General Education,"Yoda,Tomiko",41,1,0,1,0,0,0,43
108455,AESTHINT 55,"Shakespeare, The Early Plays",001,General Education,"Garber,Marjorie",71,0,0,0,0,0,0,71
108950,AESTHINT 58,Modern Art and Modernity,001,General Education,"Lajer-Burcharth,Ewa",72,1,0,0,0,0,0,73
108580,AESTHINT 59,Nazi Cinema,001,General Education,"Rentschler,Eric",83,0,0,0,0,0,0,83
203484,AFRAMER 103Y,Histories of Racial Capitalism,001,African & African Amer Studies,"Jenkins,Destin Keith",12,1,0,1,0,0,0,14
156327,AFRAMER 105X,Anthropology and Africa,001,African & African Amer Studies,"Meiu,George Paul",8,0,0,0,0,0,0,8
123591,AFRAMER 11,Introduction to African Studie,001,African & African Amer Studies,"Olupona,Jacob",18,0,1,1,0,0,0,20
144199,AFRAMER 118,The Hist of African Americans,001,African & African Amer Studies,"Brown,Vincent",15,0,0,1,0,0,0,16
111780,AFRAMER 131,"AfrAm Lit, Beginning to Harlem",001,African & African Amer Studies,"Micconi,Giovanna",3,0,0,0,0,0,0,3
112279,AFRAMER 134Z,Reading Jefferson African Amer,001,African & African Amer Studies,"Kincaid,Jamaica",2,1,0,1,0,0,0,4
204051,AFRAMER 150X,"Race, Racism, American Politic",001,African & African Amer Studies,"Bobo,Lawrence",13,5,1,0,0,0,0,19
159571,AFRAMER 175X,Policing & Militarizatn Today,001,African & African Amer Studies,"Ralph,Laurence A",28,2,0,0,0,0,0,30
123438,AFRAMER 187,African Religions,001,African & African Amer Studies,"Olupona,Jacob",4,3,0,1,0,0,0,8
110501,AFRAMER 199X,Social Revolutions in Latin,001,African & African Amer Studies,"de la Fuente,Alejandro",4,2,0,1,0,0,0,7
118883,AFRAMER 20,African Languages & Cultures,001,African & African Amer Studies,"Mugane,John M",14,0,0,1,0,0,0,15
108680,AFRAMER 209A,Africa Rising? New African Eco,001,African & African Amer Studies,"Comaroff,Jean",10,4,0,3,0,0,0,17
203411,AFRAMER 262,Research Design/Proposal Writi,001,African & African Amer Studies,"Comaroff,Jean",0,8,0,0,0,0,0,8
115727,AFRAMER 301,Graduate Proseminar,001,African & African Amer Studies,"Morgan,Marcyliena",0,7,1,0,0,0,0,8
115731,AFRAMER 310,Individual Reading Tutorial,006,African & African Amer Studies,"Bernstein,Robin",0,1,0,0,0,0,0,1
115731,AFRAMER 310,Individual Reading Tutorial,010,African & African Amer Studies,"Comaroff,Jean",0,1,0,0,0,0,0,1
122706,AFRAMER 398,Reading and Research,009,African & African Amer Studies,"Carpio,Glenda",0,1,0,0,0,0,0,1
122706,AFRAMER 398,Reading and Research,012,African & African Amer Studies,"de la Fuente,Alejandro",0,2,1,0,0,0,0,3
122706,AFRAMER 398,Reading and Research,028,African & African Amer Studies,"Mugane,John M",0,2,0,0,0,0,0,2
122706,AFRAMER 398,Reading and Research,029,African & African Amer Studies,"Olupona,Jacob",0,1,0,0,0,0,0,1
115733,AFRAMER 399,Direction of Doctoral,018,African & African Amer Studies,"Higginbotham,Evelyn Brooks",0,1,0,0,0,0,0,1
115733,AFRAMER 399,Direction of Doctoral,026,African & African Amer Studies,"Monson,Ingrid",0,1,0,0,0,0,0,1
118965,AFRAMER 90R,African Language Tutorials,001,African & African Amer Studies,"Mugane,John M",4,0,0,0,0,0,0,4
126300,AFRAMER 90R.A,Amharic,001,African & African Amer Studies,"Mugane,John M",11,1,0,2,0,0,0,14
109427,AFRAMER 90R.A1,Afrikaans,001,African & African Amer Studies,"Mugane,John M",9,2,0,0,0,0,0,11
156750,AFRAMER 90R.A5,Jamaican Patois,001,African & African Amer Studies,"Mugane,John M",16,0,0,1,0,0,0,17
159663,AFRAMER 90R.A6,Bemba,001,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
161337,AFRAMER 90R.A7,Fon,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
204110,AFRAMER 90R.A9,West African Pidgin,001,African & African Amer Studies,"Mugane,John M",13,0,0,0,0,0,0,13
126303,AFRAMER 90R.D,Chichewa,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
126306,AFRAMER 90R.G,Haitian Creole,001,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2
126307,AFRAMER 90R.H,Hausa,001,African & African Amer Studies,"Mugane,John M",0,0,0,1,0,0,0,1
126308,AFRAMER 90R.I,Igbo,001,African & African Amer Studies,"Mugane,John M",9,0,0,1,0,0,0,10
126309,AFRAMER 90R.J,Kinyarwanda,001,African & African Amer Studies,"Mugane,John M",2,2,0,0,0,0,0,4
